Name,Ingredients
AT&T ,"['1 oz  Absolut Vodka', '1 oz  Gin', '4 oz  Tonic water', '1 oz  Absolut Vodka', '1 oz  Gin', '4 oz  Tonic water']"
Atlantic Sun ,"['2 cl Smirnoff  Vodka', '2 cl  Southern Comfort', '2 cl  Passion fruit syrup', '6 cl  Sweet and sour', '1 dash  Club soda', '2 cl Smirnoff  Vodka', '2 cl  Southern Comfort', '2 cl  Passion fruit syrup', '6 cl  Sweet and sour', '1 dash  Club soda']"
Atomic Lokade ,"['5 oz  Lemonade', '1 oz  Vodka', '1/2 oz  Blue Curacao', '1/2 oz  Triple sec', ' Sugar', ' Ice', '5 oz  Lemonade', '1 oz  Vodka', '1/2 oz  Blue Curacao', '1/2 oz  Triple sec', ' Sugar', ' Ice']"
Auburn Headbanger ,"['1 oz  Jägermeister', '1 oz  Goldschlager', '1 oz  Jägermeister', '1 oz  Goldschlager']"
Autodafé ,"['4 cl  Vodka', '1 dash  Lime juice', ' Soda water', '4 cl  Vodka', '1 dash  Lime juice', ' Soda water']"
Autumn Garibaldi ,"['1 1/2 oz Campari', '2 1/2 oz Orange Juice', '2 1/2 oz Ginger Beer', 'Garnish with Orange Peel', '1 1/2 oz Campari', '2 1/2 oz Orange Juice', '2 1/2 oz Ginger Beer', 'Garnish with Orange Peel']"
Avalanche ,"['1 shot  Crown Royal', '1 shot  Kahlua', 'Fill with  Cream', '1 shot  Crown Royal', '1 shot  Kahlua', 'Fill with  Cream']"
Avalon ,"['3 parts Vodka', '1 part  Pisang Ambon', '6 parts  Apple juice', '1 1/2 part  Lemon juice', ' Lemonade', '3 parts Vodka', '1 part  Pisang Ambon', '6 parts  Apple juice', '1 1/2 part  Lemon juice', ' Lemonade']"
Aviation ,"['4.5 cl Gin', '1.5 cl lemon juice', '1.5 cl maraschino liqueur', '4.5 cl Gin', '1.5 cl lemon juice', '1.5 cl maraschino liqueur']"
Aztec Punch ,"['1 can  Lemonade', '5 oz  Vodka', '7 oz  Rum', 'About 1 bottle  Ginger ale', '1 can  Lemonade', '5 oz  Vodka', '7 oz  Rum', 'About 1 bottle  Ginger ale']"
B-52 ,"['1/3  Baileys irish cream', '1/3  Grand Marnier', '1/4  Kahlua', '1/3  Baileys irish cream', '1/3  Grand Marnier', '1/4  Kahlua']"
B-53 ,"['1/3 shot  Kahlua', '1/3 shot  Sambuca', '1/3 shot  Grand Marnier', '1/3 shot  Kahlua', '1/3 shot  Sambuca', '1/3 shot  Grand Marnier']"
Baby Eskimo ,"['2 oz  Kahlua', '8 oz  Milk', '2 scoops  Vanilla ice-cream', '2 oz  Kahlua', '8 oz  Milk', '2 scoops  Vanilla ice-cream']"
Baby Guinness ,"['2 1/2 oz  Kahlua', '1/2 oz  Baileys irish cream', '2 1/2 oz  Kahlua', '1/2 oz  Baileys irish cream']"
Bacardi Cocktail ,"['1 3/4 oz Bacardi  Light rum', '1 oz  Lime juice', '1/2 tsp  Sugar syrup', '1 dash  Grenadine', '1 3/4 oz Bacardi  Light rum', '1 oz  Lime juice', '1/2 tsp  Sugar syrup', '1 dash  Grenadine']"
Bahama Mama ,"['3 parts Rum', '1 part Dark Rum', '1 part Banana liqueur', '1 part Grenadine', '2 parts Pineapple Juice', '2 parts Orange Juice', '1 part Sweet and Sour', '3 parts Rum', '1 part Dark Rum', '1 part Banana liqueur', '1 part Grenadine', '2 parts Pineapple Juice', '2 parts Orange Juice', '1 part Sweet and Sour']"
Bailey's Dream Shake ,"['2 oz  Baileys irish cream', '2 scoops  Vanilla ice-cream', ' Cream', '2 oz  Baileys irish cream', '2 scoops  Vanilla ice-cream', ' Cream']"
Balmoral ,"['1 1/2 oz  Scotch', '1/2 oz  Sweet Vermouth', '1/2 oz  Dry Vermouth', '2 dashes  Bitters', '1 1/2 oz  Scotch', '1/2 oz  Sweet Vermouth', '1/2 oz  Dry Vermouth', '2 dashes  Bitters']"
Banana Cantaloupe Smoothie ,"['Juice of 1/2  Cantaloupe', '1  Banana', 'Juice of 1/2  Cantaloupe', '1  Banana']"
Banana Cream Pi ,"['1 oz Malibu Rum', '1 oz Banana Liqueur', 'Top Pineapple Juice', '1 oz Malibu Rum', '1 oz Banana Liqueur', 'Top Pineapple Juice']"
Banana Daiquiri ,"['1 1/2 oz  Light rum', '1 tblsp  Triple sec', '1  Banana', '1 1/2 oz  Lime juice', '1 tsp  Sugar', '1  Cherry', '1 1/2 oz  Light rum', '1 tblsp  Triple sec', '1  Banana', '1 1/2 oz  Lime juice', '1 tsp  Sugar', '1  Cherry']"
Banana Milk Shake ,"['10 cl cold  Milk', '4 cl  Orange juice', '2 tsp  Sugar syrup', '1/2  Banana', '10 cl cold  Milk', '4 cl  Orange juice', '2 tsp  Sugar syrup', '1/2  Banana']"
Banana Strawberry Shake ,"['1/2 lb frozen  Strawberries', '1 frozen  Banana', '1 cup plain  Yoghurt', '1 cup  Milk', ' to taste\n Honey', '1/2 lb frozen  Strawberries', '1 frozen  Banana', '1 cup plain  Yoghurt', '1 cup  Milk', ' to taste\n Honey']"
Banana Strawberry Shake Daiquiri ,"['1/2 lb frozen  Strawberries', '1 frozen  Banana', '2 cups fresh  Apple juice', '1/2 lb frozen  Strawberries', '1 frozen  Banana', '2 cups fresh  Apple juice']"
Barracuda ,"['4.5 cl Rum', '1.5 cl Galliano', '6 cl Pineapple Juice', ' 1 dash Lime Juice', 'top up  Prosecco', '4.5 cl Rum', '1.5 cl Galliano', '6 cl Pineapple Juice', ' 1 dash Lime Juice', 'top up  Prosecco']"
Bee's Knees ,"['6 cl Gold rum', '2 cl Orange Juice', '2 cl Lime Juice', '2 jiggers Triple Sec', '6 cl Gold rum', '2 cl Orange Juice', '2 cl Lime Juice', '2 jiggers Triple Sec']"
Belgian Blue ,"['2 cl  Vodka', '1 cl  Coconut liqueur', '1 cl  Blue Curacao', 'Fill with  Sprite', '2 cl  Vodka', '1 cl  Coconut liqueur', '1 cl  Blue Curacao', 'Fill with  Sprite']"
Bellini ,"['6 oz  Champagne', '1 oz  Peach schnapps', '6 oz  Champagne', '1 oz  Peach schnapps']"
Bellini Martini ,"['8 cubes Ice', '3 oz  Vodka', '1.5 oz  Peach nectar', '1.5 oz  Peach schnapps', '1  Lemon peel', '8 cubes Ice', '3 oz  Vodka', '1.5 oz  Peach nectar', '1.5 oz  Peach schnapps', '1  Lemon peel']"
Bermuda Highball ,"['3/4 oz  Brandy', '3/4 oz  Gin', '3/4 oz  Dry Vermouth', ' Carbonated water', ' Lemon peel', '3/4 oz  Brandy', '3/4 oz  Gin', '3/4 oz  Dry Vermouth', ' Carbonated water', ' Lemon peel']"
Berry Deadly ,"['2 pint  Everclear', '1 bottle Boone Strawberry Hill  Wine', '1/2 gal  Orange juice', '1 gal Tropical Berry  Kool-Aid', '2 pint  Everclear', '1 bottle Boone Strawberry Hill  Wine', '1/2 gal  Orange juice', '1 gal Tropical Berry  Kool-Aid']"
Between The Sheets ,"['1 oz  Brandy', '1 oz  Light rum', '1 oz  Triple sec', '1 oz  Lemon juice', '1 oz  Brandy', '1 oz  Light rum', '1 oz  Triple sec', '1 oz  Lemon juice']"
Bible Belt ,"['2 oz  Southern Comfort', '1/2 oz  Triple sec', '2 wedges  Lime', '2 oz  Sour mix', '2 oz  Southern Comfort', '1/2 oz  Triple sec', '2 wedges  Lime', '2 oz  Sour mix']"
Big Red ,"['1/2 oz  Irish cream', '1/2 oz  Goldschlager', '1/2 oz  Irish cream', '1/2 oz  Goldschlager']"
Bijou ,"['1 dash Orange Bitters', '1 oz Green Chartreuse', '1 oz Gin', '1 oz Sweet Vermouth', '1 dash Orange Bitters', '1 oz Green Chartreuse', '1 oz Gin', '1 oz Sweet Vermouth']"
Black & Tan ,"['1 part Bass pale  Ale', '1 part  Guinness stout', '1 part Bass pale  Ale', '1 part  Guinness stout']"
Black and Brown ,"['1/2  Guinness stout', '1/2  Root beer', '1/2  Guinness stout', '1/2  Root beer']"
Black Forest Shake ,"['cubes Ice', ' Chocolate syrup', ' Cherry brandy', ' Vodka', ' Milk', 'cubes Ice', ' Chocolate syrup', ' Cherry brandy', ' Vodka', ' Milk']"
Black Russian ,"['3/4 oz  Coffee liqueur', '1 1/2 oz  Vodka', '3/4 oz  Coffee liqueur', '1 1/2 oz  Vodka']"
Blackthorn ,"['1 oz  Sweet Vermouth', '1 1/2 oz  Sloe gin', '1 twist of  Lemon peel', '1 oz  Sweet Vermouth', '1 1/2 oz  Sloe gin', '1 twist of  Lemon peel']"
Bleeding Surgeon ,"['1 shot  Dark rum', '1 slice  Orange', '1/2 glass  Surge', '1/2 glass  Cranberry juice', '1 shot  Dark rum', '1 slice  Orange', '1/2 glass  Surge', '1/2 glass  Cranberry juice']"
Blind Russian ,"['3/4 oz  Baileys irish cream', '3/4 oz  Godiva liqueur', '3/4 oz  Kahlua', '1/2 oz  Butterscotch schnapps', ' to fill\n Milk', '3/4 oz  Baileys irish cream', '3/4 oz  Godiva liqueur', '3/4 oz  Kahlua', '1/2 oz  Butterscotch schnapps', ' to fill\n Milk']"
Bloody Maria ,"['1 oz  Tequila', '2 oz  Tomato juice', '1 dash  Lemon juice', '1 dash  Tabasco sauce', '1 dash  Celery salt', '1 slice  Lemon', '1 oz  Tequila', '2 oz  Tomato juice', '1 dash  Lemon juice', '1 dash  Tabasco sauce', '1 dash  Celery salt', '1 slice  Lemon']"
Bloody Mary ,"['1 1/2 oz  Vodka', '3 oz  Tomato juice', '1 dash  Lemon juice', '1/2 tsp  Worcestershire sauce', '2-3 drops  Tabasco sauce', '1 wedge  Lime', '1 1/2 oz  Vodka', '3 oz  Tomato juice', '1 dash  Lemon juice', '1/2 tsp  Worcestershire sauce', '2-3 drops  Tabasco sauce', '1 wedge  Lime']"
Bloody Punch ,"['10 shots Vodka', '3 cups Strawberries', '1/2 cup Lime Juice', '12 oz Lemon-lime soda', '12 oz Lemon-lime soda', '1 cup Raisins', '1 cup Blueberries', '10 shots Vodka', '3 cups Strawberries', '1/2 cup Lime Juice', '12 oz Lemon-lime soda', '12 oz Lemon-lime soda', '1 cup Raisins', '1 cup Blueberries']"
Blue Hurricane ,"['4 parts Rum', '2 parts Dark Rum', '1 part Passoa', '1 part Blue Curacao', '6 parts Sweet and Sour', 'cubes Ice', '4 parts Rum', '2 parts Dark Rum', '1 part Passoa', '1 part Blue Curacao', '6 parts Sweet and Sour', 'cubes Ice']"
Blue Lagoon ,"['1 oz  Vodka', '1 oz  Blue Curacao', ' Lemonade', ' Cherry', '1 oz  Vodka', '1 oz  Blue Curacao', ' Lemonade', ' Cherry']"
Blue Margarita ,"['1 1/2 oz  Tequila', '1 oz  Blue Curacao', '1 oz  Lime juice', 'Coarse  Salt', '1 1/2 oz  Tequila', '1 oz  Blue Curacao', '1 oz  Lime juice', 'Coarse  Salt']"
Blue Mountain ,"['1 1/2 oz  Añejo rum', '1/2 oz  Tia maria', '1/2 oz  Vodka', '1 oz  Orange juice', '1 tsp  Lemon juice', '1 1/2 oz  Añejo rum', '1/2 oz  Tia maria', '1/2 oz  Vodka', '1 oz  Orange juice', '1 tsp  Lemon juice']"
Blueberry Mojito ,"['2 shots Dark Rum', '1 shot Lime Juice', 'Dash Sugar', 'Whole Blueberries', 'Top Lemon-lime soda', '2 shots Dark Rum', '1 shot Lime Juice', 'Dash Sugar', 'Whole Blueberries', 'Top Lemon-lime soda']"
Bluebird ,"['1 1/2 oz  Gin', '1/2 oz  Triple sec', '1/2 oz  Blue Curacao', '2 dashes  Bitters', '1  Maraschino cherry', '1 twist of  Lemon peel', '1 1/2 oz  Gin', '1/2 oz  Triple sec', '1/2 oz  Blue Curacao', '2 dashes  Bitters', '1  Maraschino cherry', '1 twist of  Lemon peel']"
Bob Marley ,"['1/2 oz  Midori melon liqueur', '1/2 oz  Jägermeister', '1/2 oz  Goldschlager', '1/2 oz  Midori melon liqueur', '1/2 oz  Jägermeister', '1/2 oz  Goldschlager']"
Bobby Burns Cocktail ,"['1 1/2 oz  Sweet Vermouth', '1 1/2 oz  Scotch', '1 1/4 tsp  Benedictine', '1 twist of  Lemon peel', '1 1/2 oz  Sweet Vermouth', '1 1/2 oz  Scotch', '1 1/4 tsp  Benedictine', '1 twist of  Lemon peel']"
Bombay Cassis ,"['50 ml Gin', '20 ml Creme de Cassis', '15 ml Fresh Lime Juice', '75 ml Ginger beer', '1 Lime', '1 long strip Ginger', '50 ml Gin', '20 ml Creme de Cassis', '15 ml Fresh Lime Juice', '75 ml Ginger beer', '1 Lime', '1 long strip Ginger']"
Boomerang ,"['2 oz  Gin', '1/2 oz  Dry Vermouth', '2 dashes  Bitters', '1/2 tsp  Maraschino liqueur', '1  Maraschino cherry', '2 oz  Gin', '1/2 oz  Dry Vermouth', '2 dashes  Bitters', '1/2 tsp  Maraschino liqueur', '1  Maraschino cherry']"
Boozy Snickers Milkshake ,"['3 cups  Vanilla Ice-Cream', '1 cup  Milk', '1/2 cup  Godiva liqueur', 'for topping Whipped Cream', '4 tablespoons\r\n caramel sauce', '4 tablespoons\r\n chocolate sauce', '15\r\n Mini-snickers bars', '3 cups  Vanilla Ice-Cream', '1 cup  Milk', '1/2 cup  Godiva liqueur', 'for topping Whipped Cream', '4 tablespoons\r\n caramel sauce', '4 tablespoons\r\n chocolate sauce', '15\r\n Mini-snickers bars']"
Bora Bora ,"['10 cl  Pineapple juice', '6 cl  Passion fruit juice', '1 cl  Lemon juice', '1 cl  Grenadine', '10 cl  Pineapple juice', '6 cl  Passion fruit juice', '1 cl  Lemon juice', '1 cl  Grenadine']"
Boston Sidecar ,"['3/4 oz  Light rum', '3/4 oz  Brandy', '3/4 oz  Triple sec', 'Juice of 1/2  Lime', '3/4 oz  Light rum', '3/4 oz  Brandy', '3/4 oz  Triple sec', 'Juice of 1/2  Lime']"
Boston Sour ,"['2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1  Egg white', '1 slice  Lemon', '1  Cherry', '2 oz  Blended whiskey', 'Juice of 1/2  Lemon', '1 tsp  Powdered sugar', '1  Egg white', '1 slice  Lemon', '1  Cherry']"
Boulevardier ,"['1 oz Campari', '1 oz Sweet Vermouth', '1 1/4 oz Rye whiskey', '1 Orange Peel', '1 oz Campari', '1 oz Sweet Vermouth', '1 1/4 oz Rye whiskey', '1 Orange Peel']"
Bounty Hunter ,"['1 shot Rum', '1 shot Coconut Liqueur', 'Garnish with Blueberries', 'Dash Pineapple Juice', 'Top Prosecco', '1 shot Rum', '1 shot Coconut Liqueur', 'Garnish with Blueberries', 'Dash Pineapple Juice', 'Top Prosecco']"
Bourbon Sling ,"['1 tsp superfine  Sugar', '2 tsp  Water', '1 oz  Lemon juice', '2 oz  Bourbon', '1 twist of  Lemon peel', '1 tsp superfine  Sugar', '2 tsp  Water', '1 oz  Lemon juice', '2 oz  Bourbon', '1 twist of  Lemon peel']"
Bourbon Sour ,"['2 oz  Bourbon', '1 oz  Lemon juice', '1/2 tsp superfine  Sugar', '1  Orange', '1  Maraschino cherry', '2 oz  Bourbon', '1 oz  Lemon juice', '1/2 tsp superfine  Sugar', '1  Orange', '1  Maraschino cherry']"
Boxcar ,"['1 1/2 oz  Gin', '1 oz  Triple sec', '1 tsp  Lemon juice', '1/2 tsp  Grenadine', '1  Egg white', '1 1/2 oz  Gin', '1 oz  Triple sec', '1 tsp  Lemon juice', '1/2 tsp  Grenadine', '1  Egg white']"
Brain Fart ,"['1 fifth  Everclear', '1 fifth Smirnoff red label  Vodka', '2 L  Mountain Dew', '2 L  Surge', '1 small bottle  Lemon juice', '1 pint  Rum', '1 fifth  Everclear', '1 fifth Smirnoff red label  Vodka', '2 L  Mountain Dew', '2 L  Surge', '1 small bottle  Lemon juice', '1 pint  Rum']"
Brainteaser ,"['30 ml white  Sambuca', '30 ml  Erin Cream', '5 ml  Advocaat', '30 ml white  Sambuca', '30 ml  Erin Cream', '5 ml  Advocaat']"
Bramble ,"['4 cl Gin', '1.5 cl lemon juice', '1 cl Sugar syrup', '1.5 cl Creme de Mure', '4 cl Gin', '1.5 cl lemon juice', '1 cl Sugar syrup', '1.5 cl Creme de Mure']"
Brandon and Will's Coke Float ,"['2 scoops  Vanilla ice-cream', '1 can  Coca-Cola', '2 oz  Bourbon', '2 scoops  Vanilla ice-cream', '1 can  Coca-Cola', '2 oz  Bourbon']"
Brandy Alexander ,"['1 oz  Brandy', '1 oz white  Creme de Cacao', '1 oz  Light cream', ' Nutmeg', '1 oz  Brandy', '1 oz white  Creme de Cacao', '1 oz  Light cream', ' Nutmeg']"
Brandy Cobbler ,"['1 tsp superfine  Sugar', '3 oz  Club soda', '1  Lemon', '2 oz  Brandy', '1  Maraschino cherry', '1  Orange', '1 tsp superfine  Sugar', '3 oz  Club soda', '1  Lemon', '2 oz  Brandy', '1  Maraschino cherry', '1  Orange']"
Brandy Flip ,"['2 oz  Brandy', '1 whole  Egg', '1 tsp superfine  Sugar', '1/2 oz  Light cream', '1/8 tsp grated  Nutmeg', '2 oz  Brandy', '1 whole  Egg', '1 tsp superfine  Sugar', '1/2 oz  Light cream', '1/8 tsp grated  Nutmeg']"
Brandy Sour ,"['2 oz  Brandy', 'Juice of 1/2  Lemon', '1/2 tsp  Powdered sugar', '1/2 slice  Lemon', '1  Cherry', '2 oz  Brandy', 'Juice of 1/2  Lemon', '1/2 tsp  Powdered sugar', '1/2 slice  Lemon', '1  Cherry']"
Brave Bull Shooter ,"['1/2 oz  Tequila', '1/2 oz  Tabasco sauce', '1/2 oz  Tequila', '1/2 oz  Tabasco sauce']"
Brigadier ,"['4 oz Hot Chocolate', '1 oz Green Chartreuse', '1 oz Cherry Heering', '4 oz Hot Chocolate', '1 oz Green Chartreuse', '1 oz Cherry Heering']"
Broadside ,"['1 shot 151 proof rum', '1/2 shot Scotch', '3 drops Bitters', '1 Fresh Wormwood', 'cubes Ice', '1 shot 151 proof rum', '1/2 shot Scotch', '3 drops Bitters', '1 Fresh Wormwood', 'cubes Ice']"
Brooklyn ,"['2 oz Rye Whiskey', '1 oz Dry Vermouth', '1/4 oz Maraschino Liqueur', '3 dashes Angostura Bitters', '1 Maraschino Cherry', '2 oz Rye Whiskey', '1 oz Dry Vermouth', '1/4 oz Maraschino Liqueur', '3 dashes Angostura Bitters', '1 Maraschino Cherry']"
Bruce's Puce ,"[' Grenadine', ' Kahlua', ' Baileys irish cream', ' Grenadine', ' Kahlua', ' Baileys irish cream']"
Bruised Heart ,"['1/2 oz  Vodka', '1/2 oz  Chambord raspberry liqueur', '1/2 oz  Peachtree schnapps', '1/2 oz  Cranberry juice', '1/2 oz  Vodka', '1/2 oz  Chambord raspberry liqueur', '1/2 oz  Peachtree schnapps', '1/2 oz  Cranberry juice']"
Bubble Gum ,"['1/4  Vodka', '1/4  Banana liqueur', '1/4  Orange juice', '1/4  Peach schnapps', '1/4  Vodka', '1/4  Banana liqueur', '1/4  Orange juice', '1/4  Peach schnapps']"
Buccaneer ,"['1  Corona', '1 shot  Bacardi Limon', '1  Corona', '1 shot  Bacardi Limon']"
Bumble Bee ,"['1/3 oz  Baileys irish cream', '1/3 oz  Kahlua', '1/3 oz  Sambuca', '1/3 oz  Baileys irish cream', '1/3 oz  Kahlua', '1/3 oz  Sambuca']"
Butter Baby ,"['2 scoops  Vanilla Ice-Cream', '1 part  Butterscotch schnapps', 'full glass  Milk', '2 parts  Vodka', '2 scoops  Vanilla Ice-Cream', '1 part  Butterscotch schnapps', 'full glass  Milk', '2 parts  Vodka']"
Butterfly Effect ,"['50 ml Raspberry Vodka', '25 ml Cranberry Juice', '25 ml Lemonade', '10 ml Blue Curacao', '10 ml Sugar Syrup', 'Dash Lime Juice', 'Sprig Mint', '50 ml Raspberry Vodka', '25 ml Cranberry Juice', '25 ml Lemonade', '10 ml Blue Curacao', '10 ml Sugar Syrup', 'Dash Lime Juice', 'Sprig Mint']"
Cafe Savoy ,"[' Coffee', '1/2 oz  Milk', '1/2 oz  Triple sec', ' Brandy', ' Coffee', '1/2 oz  Milk', '1/2 oz  Triple sec', ' Brandy']"
Caipirinha ,"['2 tsp Sugar', '1  Lime', '2 1/2 oz  Cachaca', '2 tsp Sugar', '1  Lime', '2 1/2 oz  Cachaca']"
Caipirissima ,"['2  Lime', '2 tblsp  Sugar', '2-3 oz  White rum', 'crushed  Ice', '2  Lime', '2 tblsp  Sugar', '2-3 oz  White rum', 'crushed  Ice']"
California Lemonade ,"['2 oz  Blended whiskey', 'Juice of 1  Lemon', 'Juice of 1  Lime', '1 tblsp Powdered sugar', '1/4 tsp Grenadine', ' Carbonated water', '2 oz  Blended whiskey', 'Juice of 1  Lemon', 'Juice of 1  Lime', '1 tblsp Powdered sugar', '1/4 tsp Grenadine', ' Carbonated water']"
California Root Beer ,"['3/4 oz  Kahlua', '3/4 oz  Galliano', 'Fill with  Soda water', '3/4 oz  Kahlua', '3/4 oz  Galliano', 'Fill with  Soda water']"
Campari Beer ,"['1 bottle  Lager', '1 1/2 cl  Campari', '1 bottle  Lager', '1 1/2 cl  Campari']"
Captain Kidd's Punch ,"['2 shots Rum', '1 shot Lime Juice', '1 shot Egg White', '1 dash Bitters', 'Ground Sugar', 'Top Nutmeg', '2 shots Rum', '1 shot Lime Juice', '1 shot Egg White', '1 dash Bitters', 'Ground Sugar', 'Top Nutmeg']"
Caribbean Boilermaker ,"['1 bottle  Corona', '1 shot  Light rum', '1 bottle  Corona', '1 shot  Light rum']"
Caribbean Orange Liqueur ,"['3 large  Orange', '3 cups  Vodka', '1 1/3 cup superfine  Sugar', '3 large  Orange', '3 cups  Vodka', '1 1/3 cup superfine  Sugar']"
Casa Blanca ,"['2 oz  Light rum', '1 1/2 tsp  Triple sec', '1 1/2 tsp  Lime juice', '1 1/2 tsp  Maraschino liqueur', '2 oz  Light rum', '1 1/2 tsp  Triple sec', '1 1/2 tsp  Lime juice', '1 1/2 tsp  Maraschino liqueur']"
Casino ,"['2 oz  Gin', '1/4 tsp  Maraschino liqueur', '1/4 tsp  Lemon juice', '2 dashes  Orange bitters', '1  Cherry', '2 oz  Gin', '1/4 tsp  Maraschino liqueur', '1/4 tsp  Lemon juice', '2 dashes  Orange bitters', '1  Cherry']"
Casino Royale ,"['2 oz  Gin', '1/2 oz  Lemon juice', '1 tsp  Maraschino liqueur', '1 dash  Orange bitters', '1  Egg yolk', '2 oz  Gin', '1/2 oz  Lemon juice', '1 tsp  Maraschino liqueur', '1 dash  Orange bitters', '1  Egg yolk']"
